task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
unconditional,US,2004Q4,True,4,7,GIB-VAR,0.566954,0.600766,8.725217,0.190702,0.833333,0.927083,2.266633,3.550524
unconditional,US,2004Q4,True,4,19,GIB-VAR,0.567125,0.601434,8.717048,0.191682,0.843750,0.927083,2.233631,3.469690
unconditional,US,2004Q4,True,4,43,GIB-VAR,0.570311,0.602201,8.983827,0.191072,0.843750,0.927083,2.261529,3.517265
unconditional,US,2005Q4,True,8,7,GIB-VAR,1.045540,1.240902,16.215580,0.484696,0.645833,0.781250,2.038901,3.270166
unconditional,US,2005Q4,True,8,19,GIB-VAR,1.050089,1.249819,16.114743,0.481235,0.677083,0.781250,2.068318,3.301059
unconditional,US,2005Q4,True,8,43,GIB-VAR,1.048149,1.242568,16.309051,0.484582,0.656250,0.781250,2.044199,3.260500
unconditional,US,2006Q4,True,12,7,GIB-VAR,1.474466,1.693578,20.380699,0.703015,0.458333,0.666667,2.249418,3.847569
unconditional,US,2006Q4,True,12,19,GIB-VAR,1.475952,1.694331,20.426508,0.704484,0.416667,0.666667,2.246302,3.828420
unconditional,US,2006Q4,True,12,43,GIB-VAR,1.479976,1.700029,20.329975,0.707225,0.447917,0.666667,2.252517,3.878027
unconditional,US,2007Q4,True,12,7,GIB-VAR,1.401409,1.593723,18.708467,0.599273,0.395833,0.697917,2.309487,4.293659
unconditional,US,2007Q4,True,12,19,GIB-VAR,1.409432,1.603369,18.745754,0.604141,0.385417,0.666667,2.317770,4.218690
unconditional,US,2007Q4,True,12,43,GIB-VAR,1.403797,1.598356,18.720613,0.601401,0.395833,0.708333,2.306766,4.225304
unconditional,US,2008Q4,True,8,7,GIB-VAR,0.816532,0.745976,10.194866,0.330701,0.822917,0.906250,4.338490,7.154187
unconditional,US,2008Q4,True,8,19,GIB-VAR,0.802363,0.742765,10.226505,0.322681,0.812500,0.916667,4.328896,6.999131
